region,annee,ASMR
Colombie-Britannique,1988,296
Colombie-Britannique,1989,300
Colombie-Britannique,1990,290
Colombie-Britannique,1991,292
Colombie-Britannique,1992,285
Colombie-Britannique,1993,289
Colombie-Britannique,1994,283
Colombie-Britannique,1995,282
Colombie-Britannique,1996,281
Colombie-Britannique,1997,278
Colombie-Britannique,1998,270
Colombie-Britannique,1999,272
Colombie-Britannique,2000,259
Colombie-Britannique,2001,263
Colombie-Britannique,2002,255
Colombie-Britannique,2003,254
Colombie-Britannique,2004,256
Colombie-Britannique,2005,255
Colombie-Britannique,2006,242
Colombie-Britannique,2007,252
Colombie-Britannique,2008,244
Colombie-Britannique,2009,239
Colombie-Britannique,2010,230
Colombie-Britannique,2011,225
Colombie-Britannique,2012,221
Colombie-Britannique,2013,220
Colombie-Britannique,2014,217
Colombie-Britannique,2015,213
Colombie-Britannique,2016,210
Colombie-Britannique,2017,208
Alberta,1988,305
Alberta,1989,290
Alberta,1990,298
Alberta,1991,301
Alberta,1992,299
Alberta,1993,290
Alberta,1994,283
Alberta,1995,299
Alberta,1996,287
Alberta,1997,277
Alberta,1998,277
Alberta,1999,270
Alberta,2000,277
Alberta,2001,274
Alberta,2002,270
Alberta,2003,270
Alberta,2004,263
Alberta,2005,267
Alberta,2006,253
Alberta,2007,256
Alberta,2008,280
Alberta,2009,251
Alberta,2010,236
Alberta,2011,229
Alberta,2012,233
Alberta,2013,228
Alberta,2014,224
Alberta,2015,220
Alberta,2016,218
Alberta,2017,216
Saskatchewan,1988,303
Saskatchewan,1989,276
Saskatchewan,1990,301
Saskatchewan,1991,304
Saskatchewan,1992,286
Saskatchewan,1993,296
Saskatchewan,1994,300
Saskatchewan,1995,299
Saskatchewan,1996,294
Saskatchewan,1997,286
Saskatchewan,1998,297
Saskatchewan,1999,297
Saskatchewan,2000,274
Saskatchewan,2001,302
Saskatchewan,2002,302
Saskatchewan,2003,288
Saskatchewan,2004,280
Saskatchewan,2005,268
Saskatchewan,2006,270
Saskatchewan,2007,267
Saskatchewan,2008,270
Saskatchewan,2009,256
Saskatchewan,2010,251
Saskatchewan,2011,242
Saskatchewan,2012,248
Saskatchewan,2013,244
Saskatchewan,2014,241
Saskatchewan,2015,238
Saskatchewan,2016,235
Saskatchewan,2017,233
Manitoba,1988,338
Manitoba,1989,323
Manitoba,1990,328
Manitoba,1991,308
Manitoba,1992,327
Manitoba,1993,338
Manitoba,1994,307
Manitoba,1995,319
Manitoba,1996,302
Manitoba,1997,298
Manitoba,1998,324
Manitoba,1999,312
Manitoba,2000,324
Manitoba,2001,301
Manitoba,2002,293
Manitoba,2003,294
Manitoba,2004,299
Manitoba,2005,291
Manitoba,2006,282
Manitoba,2007,291
Manitoba,2008,276
Manitoba,2009,271
Manitoba,2010,265
Manitoba,2011,264
Manitoba,2012,260
Manitoba,2013,259
Manitoba,2014,256
Manitoba,2015,253
Manitoba,2016,251
Manitoba,2017,249
Ontario,1988,343
Ontario,1989,333
Ontario,1990,321
Ontario,1991,325
Ontario,1992,323
Ontario,1993,316
Ontario,1994,324
Ontario,1995,315
Ontario,1996,309
Ontario,1997,299
Ontario,1998,301
Ontario,1999,304
Ontario,2000,300
Ontario,2001,299
Ontario,2002,294
Ontario,2003,290
Ontario,2004,281
Ontario,2005,273
Ontario,2006,271
Ontario,2007,263
Ontario,2008,261
Ontario,2009,256
Ontario,2010,252
Ontario,2011,249
Ontario,2012,243
Ontario,2013,239
Ontario,2014,234
Ontario,2015,230
Ontario,2016,227
Ontario,2017,224
Quebec,1988,398
Quebec,1989,400
Quebec,1990,387
Quebec,1991,397
Quebec,1992,382
Quebec,1993,385
Quebec,1994,378
Quebec,1995,371
Quebec,1996,379
Quebec,1997,365
Quebec,1998,364
Quebec,1999,359
Quebec,2000,356
Quebec,2001,351
Quebec,2002,350
Quebec,2003,331
Quebec,2004,332
Quebec,2005,321
Quebec,2006,310
Quebec,2007,308
Quebec,2008,304
Quebec,2009,296
Quebec,2010,291
Quebec,2011,285
Quebec,2012,284
Quebec,2013,276
Quebec,2014,270
Quebec,2015,265
Quebec,2016,261
Quebec,2017,257
Nouveau-Brunswick,1988,353
Nouveau-Brunswick,1989,331
Nouveau-Brunswick,1990,347
Nouveau-Brunswick,1991,348
Nouveau-Brunswick,1992,349
Nouveau-Brunswick,1993,341
Nouveau-Brunswick,1994,343
Nouveau-Brunswick,1995,367
Nouveau-Brunswick,1996,339
Nouveau-Brunswick,1997,341
Nouveau-Brunswick,1998,365
Nouveau-Brunswick,1999,324
Nouveau-Brunswick,2000,327
Nouveau-Brunswick,2001,322
Nouveau-Brunswick,2002,312
Nouveau-Brunswick,2003,332
Nouveau-Brunswick,2004,311
Nouveau-Brunswick,2005,316
Nouveau-Brunswick,2006,284
Nouveau-Brunswick,2007,294
Nouveau-Brunswick,2008,318
Nouveau-Brunswick,2009,292
Nouveau-Brunswick,2010,261
Nouveau-Brunswick,2011,261
Nouveau-Brunswick,2012,272
Nouveau-Brunswick,2013,271
Nouveau-Brunswick,2014,267
Nouveau-Brunswick,2015,264
Nouveau-Brunswick,2016,261
Nouveau-Brunswick,2017,258
Nouvelle-Ecosse,1988,367
Nouvelle-Ecosse,1989,352
Nouvelle-Ecosse,1990,369
Nouvelle-Ecosse,1991,370
Nouvelle-Ecosse,1992,387
Nouvelle-Ecosse,1993,371
Nouvelle-Ecosse,1994,380
Nouvelle-Ecosse,1995,366
Nouvelle-Ecosse,1996,358
Nouvelle-Ecosse,1997,348
Nouvelle-Ecosse,1998,348
Nouvelle-Ecosse,1999,354
Nouvelle-Ecosse,2000,352
Nouvelle-Ecosse,2001,341
Nouvelle-Ecosse,2002,341
Nouvelle-Ecosse,2003,329
Nouvelle-Ecosse,2004,336
Nouvelle-Ecosse,2005,336
Nouvelle-Ecosse,2006,332
Nouvelle-Ecosse,2007,313
Nouvelle-Ecosse,2008,317
Nouvelle-Ecosse,2009,298
Nouvelle-Ecosse,2010,294
Nouvelle-Ecosse,2011,296
Nouvelle-Ecosse,2012,287
Nouvelle-Ecosse,2013,286
Nouvelle-Ecosse,2014,282
Nouvelle-Ecosse,2015,279
Nouvelle-Ecosse,2016,276
Nouvelle-Ecosse,2017,273
Ile-du-Prince-Edouard,1988,324
Ile-du-Prince-Edouard,1989,321
Ile-du-Prince-Edouard,1990,355
Ile-du-Prince-Edouard,1991,344
Ile-du-Prince-Edouard,1992,383
Ile-du-Prince-Edouard,1993,310
Ile-du-Prince-Edouard,1994,359
Ile-du-Prince-Edouard,1995,352
Ile-du-Prince-Edouard,1996,373
Ile-du-Prince-Edouard,1997,324
Ile-du-Prince-Edouard,1998,309
Ile-du-Prince-Edouard,1999,314
Ile-du-Prince-Edouard,2000,316
Ile-du-Prince-Edouard,2001,282
Ile-du-Prince-Edouard,2002,288
Ile-du-Prince-Edouard,2003,309
Ile-du-Prince-Edouard,2004,309
Ile-du-Prince-Edouard,2005,245
Ile-du-Prince-Edouard,2006,276
Ile-du-Prince-Edouard,2007,272
Ile-du-Prince-Edouard,2008,266
Ile-du-Prince-Edouard,2009,294
Ile-du-Prince-Edouard,2010,241,
Ile-du-Prince-Edouard,2011,275
Ile-du-Prince-Edouard,2012,287
Ile-du-Prince-Edouard,2013,267
Ile-du-Prince-Edouard,2014,266
Ile-du-Prince-Edouard,2015,264
Ile-du-Prince-Edouard,2016,262
Ile-du-Prince-Edouard,2017,261
Terre-Neuve-et-Labrado,1988,318
Terre-Neuve-et-Labrado,1989,350
Terre-Neuve-et-Labrado,1990,338
Terre-Neuve-et-Labrado,1991,336
Terre-Neuve-et-Labrado,1992,367
Terre-Neuve-et-Labrado,1993,352
Terre-Neuve-et-Labrado,1994,372
Terre-Neuve-et-Labrado,1995,346
Terre-Neuve-et-Labrado,1996,323
Terre-Neuve-et-Labrado,1997,342
Terre-Neuve-et-Labrado,1998,334
Terre-Neuve-et-Labrado,1999,346
Terre-Neuve-et-Labrado,2000,337
Terre-Neuve-et-Labrado,2001,367
Terre-Neuve-et-Labrado,2002,332
Terre-Neuve-et-Labrado,2003,318
Terre-Neuve-et-Labrado,2004,308
Terre-Neuve-et-Labrado,2005,339
Terre-Neuve-et-Labrado,2006,352
Terre-Neuve-et-Labrado,2007,331
Terre-Neuve-et-Labrado,2008,314
Terre-Neuve-et-Labrado,2009,331
Terre-Neuve-et-Labrado,2010,300
Terre-Neuve-et-Labrado,2011,294
Terre-Neuve-et-Labrado,2012,295
Terre-Neuve-et-Labrado,2013,298
Terre-Neuve-et-Labrado,2014,295
Terre-Neuve-et-Labrado,2015,293
Terre-Neuve-et-Labrado,2016,290
Terre-Neuve-et-Labrado,2017,288
