region,abreviation,Sein,Poumon,Colorectal,Thyroide,Estomac,Foie,TousLesCancers
Colombie-Britannique,C-B,3500,1550,1500,360,140,85,12600
Alberta,Alb,2600,1100,970,390,95,50,8800
Saskatchewan,Sask,750,420,380,90,30,10,2800
Manitoba,Man,860,480,360,110,40,15,3400
Ontario,Ont,10100,5300,4700,2500,540,210,40900
Quebec,Qc,6500,4300,3000,1650,330,180,26900
Nouveau-Brunswick,N-B,580,290,270,100,30,10,2300
Nouvelle-Ecosse,N-E,730,480,400,120,30,10,3100
Ile-du-Prince-Edouard,I-P-E,120,60,60,10,5,5,440
Terre-Neuve-et-Labrado,T-N-L,510,220,270,100,35,10,1850
